epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,69.8449,1.54209,1.07935,1.2923,0.86659,0.70732,0.78939,0.33479,2.11676,1.29417,1.88506,0.00072775,0.00072775,0.00072775
101,70.4746,1.45193,1.02734,1.29411,0.89344,0.73171,0.82171,0.35175,2.08001,1.25416,1.86659,0.000725,0.000725,0.000725
102,71.1604,1.51258,1.01647,1.32725,0.88855,0.7561,0.83164,0.35631,2.03337,1.21985,1.83716,0.00072225,0.00072225,0.00072225
103,71.8466,1.42976,1.25968,1.32519,0.88674,0.78049,0.82746,0.33923,2.05696,1.23259,1.8564,0.0007195,0.0007195,0.0007195
104,72.4887,1.37684,1.02667,1.30903,0.89258,0.7561,0.8042,0.30639,2.15452,1.30347,1.92012,0.00071675,0.00071675,0.00071675
105,73.1305,1.50404,1.01302,1.28222,0.81429,0.7561,0.77576,0.27619,2.24229,1.37707,1.98009,0.000714,0.000714,0.000714
106,73.767,1.4865,1.01416,1.33201,0.79966,0.7561,0.77155,0.28474,2.19456,1.39244,1.95592,0.00071125,0.00071125,0.00071125
107,74.4028,1.62629,1.04105,1.29232,0.70234,0.73171,0.73408,0.26462,2.21071,1.43315,1.97302,0.0007085,0.0007085,0.0007085
108,75.0466,1.4388,0.98662,1.3101,0.69331,0.6617,0.6892,0.25818,2.19645,1.49929,1.98905,0.00070575,0.00070575,0.00070575
109,75.6783,1.52388,1.05714,1.34537,0.72582,0.70732,0.69698,0.25597,2.13888,1.49544,1.95838,0.000703,0.000703,0.000703
110,76.3085,1.45969,1.00196,1.30736,0.75053,0.73171,0.72704,0.28859,2.08277,1.41887,1.89714,0.00070025,0.00070025,0.00070025
111,76.9339,1.47914,0.99341,1.35376,0.867,0.79516,0.80925,0.34863,1.92393,1.27425,1.76908,0.0006975,0.0006975,0.0006975
112,77.5913,1.50368,1.04756,1.3328,0.84938,0.82531,0.82859,0.38991,1.85914,1.22888,1.7093,0.00069475,0.00069475,0.00069475
113,78.2525,1.54179,1.22859,1.43798,0.80903,0.82669,0.77143,0.35261,1.8916,1.27788,1.72625,0.000692,0.000692,0.000692
114,78.907,1.55744,1.01387,1.30721,0.80537,0.82927,0.76925,0.3579,1.88101,1.3316,1.72409,0.00068925,0.00068925,0.00068925
